,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[4,2]",-0.085051,0.000223868,0.0276782,0.0271024,-0.131322,-0.0848577,-0.0397953,15308.8,5350.28,1.00047
"beta_language_std[4,3]",0.363413,0.000243571,0.0303257,0.0301168,0.313243,0.363433,0.413583,15601.3,5825.93,1.0005
"beta_language_std[4,4]",0.0145336,0.00022836,0.0279139,0.0273997,-0.0315757,0.0145653,0.0604584,15084.3,4956.52,1.00104
"beta_language_std[4,5]",0.182942,0.000228259,0.0285783,0.0285912,0.13681,0.182924,0.230344,16015.9,5674.68,1.00065
"beta_language_std[4,6]",-0.204294,0.00032677,0.0394264,0.0390443,-0.268976,-0.203867,-0.138746,14726.6,6232.56,0.999999
"beta_language_std[4,7]",0.129806,0.000248385,0.0281857,0.0282013,0.0830487,0.1299,0.176028,13627.9,4811.29,1.00016
"beta_language_std[4,8]",0.0976061,0.0002317,0.0283625,0.0281099,0.0507554,0.0973714,0.144572,15117.4,5886.69,1.00033
"beta_language_std[4,9]",-0.0246883,0.000235408,0.0284006,0.0286089,-0.0712844,-0.0248669,0.0222776,14858.0,5131.44,1.0
"beta_language_std[4,10]",-0.479692,0.000249877,0.0270835,0.0269752,-0.524332,-0.479596,-0.435824,11940.7,4707.26,0.999945
"beta_language_std[4,11]",-0.0396506,0.000218463,0.0226844,0.0222684,-0.0772141,-0.0394235,-0.00231495,11354.5,5771.14,1.00143
"beta_language_std[4,12]",-0.129074,0.0016279,0.0638444,0.0546463,-0.226597,-0.132699,-0.020933,1756.73,1515.86,1.00462
"beta_language_std[5,1]",0.144055,0.000242597,0.0283299,0.0279744,0.0976499,0.143918,0.19022,13860.1,4935.97,1.0005
"beta_language_std[5,2]",0.0399976,0.000213509,0.0277422,0.0274506,-0.00617229,0.0402326,0.086257,17143.1,5400.05,1.00037
"beta_language_std[5,3]",0.396544,0.000232835,0.030497,0.0303948,0.347604,0.396331,0.447599,17786.2,5295.85,1.00094
"beta_language_std[5,4]",0.0248642,0.000238831,0.0282425,0.0282408,-0.0212597,0.0247388,0.0719265,14403.4,5791.1,1.00006
"beta_language_std[5,5]",0.217057,0.0002591,0.028448,0.0290034,0.171218,0.216866,0.264091,12233.5,5793.96,1.0001
